@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute inputs-101 numeric
@attribute inputs-102 numeric
@attribute inputs-103 numeric
@attribute inputs-104 numeric
@attribute inputs-105 numeric
@attribute inputs-106 numeric
@attribute inputs-107 numeric
@attribute inputs-108 numeric
@attribute inputs-109 numeric
@attribute inputs-110 numeric
@attribute inputs-111 numeric
@attribute inputs-112 numeric
@attribute inputs-113 numeric
@attribute inputs-114 numeric
@attribute inputs-115 numeric
@attribute inputs-116 numeric
@attribute inputs-117 numeric
@attribute inputs-118 numeric
@attribute inputs-119 numeric
@attribute inputs-120 numeric
@attribute inputs-121 numeric
@attribute inputs-122 numeric
@attribute inputs-123 numeric
@attribute inputs-124 numeric
@attribute inputs-125 numeric
@attribute inputs-126 numeric
@attribute inputs-127 numeric
@attribute inputs-128 numeric
@attribute inputs-129 numeric
@attribute inputs-130 numeric
@attribute inputs-131 numeric
@attribute inputs-132 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric

@data
383,'2018/04/20 14:18:10:275',4,-20.13571,-5.877124,-19.111837,-0.555402,-17.868982,4.712805,-16.572727,9.870967,-14.762085,14.604671,-11.73686,18.436073,-7.832891,21.373812,-3.359364,23.322933,1.540836,23.581533,6.567797,22.341026,10.722305,19.252789,13.983445,15.244261,16.329111,10.707013,17.666243,5.928991,18.354364,1.126672,18.767305,-3.709128,18.808832,-8.556393,-18.025625,-14.359562,-15.693348,-16.369736,-12.666388,-17.201488,-9.518716,-17.125498,-6.422288,-16.463621,4.565993,-16.803411,7.154311,-17.613924,9.876606,-17.974129,12.608425,-17.698544,14.929544,-16.333021,-0.215156,-11.601601,-0.067344,-8.380251,0.059066,-5.178349,0.171119,-1.984656,-2.993485,0.956937,-1.247075,1.385585,0.568543,1.534093,2.173915,1.237165,3.676496,0.664743,-13.654973,-10.247911,-11.695494,-11.622764,-9.262234,-11.873411,-7.170651,-10.745791,-9.285685,-10.014277,-11.548809,-9.803091,5.711324,-11.283237,7.582432,-12.476933,9.941502,-12.5503,11.914217,-11.322132,9.935431,-10.690945,7.756382,-10.730851,-7.335956,8.568282,-4.946869,7.062734,-2.313905,6.034222,0.434711,6.22404,3.085199,5.790041,5.689761,6.554017,7.998228,7.937002,6.102334,9.856459,3.537153,10.965383,0.736782,11.350058,-2.184504,11.19228,-4.976726,10.293625,-2.444793,8.001627,0.565999,8.067443,3.495379,7.774881,3.616134,8.208745,0.646764,8.519261,-2.418656,8.465403,0,0.5,0.5
384,'2018/04/20 14:18:10:293',4,-20.218338,-5.630949,-19.186131,-0.303293,-17.932474,4.969075,-16.625937,10.112909,-14.799648,14.794075,-11.74588,18.551395,-7.816701,21.420528,-3.319965,23.295744,1.589847,23.496569,6.615324,22.279325,10.760392,19.218246,14.006905,15.241752,16.343561,10.757195,17.672087,6.02921,18.35041,1.250816,18.752863,-3.580638,18.776917,-8.42152,-18.094133,-14.370743,-15.749576,-16.394142,-12.712699,-17.229879,-9.559223,-17.163586,-6.458048,-16.510725,4.532248,-16.858374,7.118665,-17.670732,9.842413,-18.032831,12.581425,-17.763165,14.914147,-16.390657,-0.231202,-11.648092,-0.07524,-8.436961,0.059127,-5.246462,0.179439,-2.062178,-2.974341,0.980272,-1.226057,1.389334,0.589142,1.520936,2.189974,1.234911,3.687994,0.676105,-13.741143,-10.227633,-11.757243,-11.670877,-9.267477,-11.919078,-7.14574,-10.707892,-9.295345,-9.94371,-11.601898,-9.731664,5.65998,-11.265553,7.541525,-12.546,9.951058,-12.638227,11.957187,-11.353241,9.959103,-10.662087,7.740659,-10.691238,-7.304097,8.552878,-4.897424,7.033753,-2.264229,5.997896,0.472315,6.175973,3.103251,5.744419,5.703738,6.501317,8.025578,7.883343,6.138897,9.798245,3.572273,10.891033,0.7854,11.257556,-2.1287,11.130552,-4.935133,10.264551,-2.36975,8.018055,0.614278,8.080362,3.50652,7.784281,3.616295,8.071501,0.680641,8.332181,-2.353235,8.336573,0,0.5,0.5
385,'2018/04/20 14:18:10:341',4,-20.198509,-5.654329,-19.17312,-0.354442,-17.921991,4.889118,-16.596598,10.009132,-14.740465,14.680618,-11.687179,18.450188,-7.779573,21.348564,-3.310852,23.274496,1.586076,23.511713,6.598435,22.286863,10.733244,19.223145,13.981674,15.25218,16.32596,10.763914,17.67256,6.025208,18.368773,1.238193,18.780512,-3.594927,18.817694,-8.438211,-18.042847,-14.388442,-15.713856,-16.407429,-12.686625,-17.240557,-9.540331,-17.166412,-6.447855,-16.505188,4.529798,-16.851408,7.125413,-17.67532,9.85828,-18.044176,12.603626,-17.768324,14.934054,-16.388706,-0.24159,-11.632674,-0.087205,-8.421458,0.046458,-5.229935,0.16652,-2.045529,-2.990973,0.935752,-1.250184,1.352015,0.558609,1.489299,2.164061,1.198984,3.666392,0.635257,-13.653913,-10.243605,-11.683326,-11.663497,-9.215566,-11.909444,-7.110386,-10.728838,-9.24284,-9.970384,-11.530495,-9.757566,5.654801,-11.278725,7.531936,-12.530975,9.925347,-12.613318,11.918235,-11.347767,9.927582,-10.672732,7.723239,-10.704764,-7.271811,8.573765,-4.903192,7.058962,-2.290851,6.01747,0.440774,6.197799,3.075735,5.770418,5.66439,6.545617,7.961288,7.930369,6.08473,9.845688,3.537968,10.956939,0.750008,11.341387,-2.159952,11.190598,-4.935416,10.293759,-2.406035,7.989003,0.57217,8.038177,3.470964,7.759885,3.590153,8.197904,0.652214,8.501427,-2.381492,8.455857,0,0.5,0.5
386,'2018/04/20 14:18:10:356',4,-20.243855,-5.629951,-19.200695,-0.311137,-17.935444,4.952181,-16.615713,10.093902,-14.775365,14.782772,-11.711841,18.550308,-7.780311,21.431133,-3.284832,23.317924,1.621991,23.522928,6.637661,22.290018,10.768645,19.20834,14.003033,15.213216,16.33441,10.713348,17.660826,5.973738,18.338114,1.193101,18.740465,-3.63307,18.763945,-8.468532,-18.129095,-14.333513,-15.783078,-16.355255,-12.743327,-17.193916,-9.584377,-17.131115,-6.474958,-16.483768,4.51606,-16.849113,7.109668,-17.664328,9.838495,-18.030525,12.581208,-17.763071,14.916533,-16.394533,-0.24667,-11.651302,-0.084071,-8.430489,0.057115,-5.229939,0.18415,-2.036129,-2.997408,0.990725,-1.234792,1.405752,0.595662,1.538177,2.209588,1.244122,3.717926,0.672549,-13.701707,-10.223599,-11.732854,-11.632351,-9.275723,-11.887882,-7.164701,-10.728127,-9.29592,-9.985098,-11.577102,-9.768518,5.639898,-11.303076,7.514813,-12.537347,9.892887,-12.624693,11.882648,-11.377628,9.895226,-10.722882,7.701117,-10.753858,-7.306358,8.582017,-4.902122,7.054155,-2.262298,6.012578,0.487022,6.193396,3.127093,5.748802,5.735564,6.501898,8.058261,7.885459,6.165527,9.801665,3.59339,10.892452,0.805942,11.262762,-2.110054,11.141221,-4.925161,10.286949,-2.354353,8.052047,0.633044,8.115304,3.524695,7.808403,3.626376,8.055322,0.695492,8.317593,-2.335398,8.329644,0,0.5,0.5
387,'2018/04/20 14:18:10:407',4,-20.184435,-5.751479,-19.167717,-0.439239,-17.926651,4.818416,-16.618565,9.959384,-14.784356,14.66152,-11.740108,18.459089,-7.827211,21.37171,-3.345131,23.295971,1.559525,23.536106,6.580349,22.299229,10.722743,19.220144,13.976465,15.229799,16.322493,10.718903,17.667194,5.961406,18.360802,1.164374,18.770113,-3.673618,18.80257,-8.522538,-18.038015,-14.372513,-15.714074,-16.397581,-12.686059,-17.233788,-9.536656,-17.157928,-6.440437,-16.495237,4.542281,-16.839617,7.135261,-17.669436,9.867,-18.044939,12.611916,-17.77445,14.940184,-16.396309,-0.232784,-11.614326,-0.083816,-8.403302,0.044672,-5.211944,0.159656,-2.028429,-3.010043,0.972014,-1.260086,1.394934,0.558879,1.535974,2.173188,1.241734,3.683578,0.670903,-13.648034,-10.217704,-11.673949,-11.654013,-9.193369,-11.895332,-7.082341,-10.691078,-9.221065,-9.921464,-11.518357,-9.710864,5.661311,-11.243286,7.539132,-12.519055,9.943424,-12.608707,11.941364,-11.326686,9.949192,-10.628798,7.7363,-10.658134,-7.295212,8.567658,-4.917264,7.052444,-2.295556,6.014286,0.443919,6.197374,3.085299,5.764799,5.680591,6.533966,7.982963,7.918475,6.100078,9.839136,3.546218,10.953726,0.752471,11.339758,-2.16326,11.18991,-4.949768,10.294104,-2.41082,7.992147,0.577327,8.049195,3.483178,7.760044,3.602306,8.185595,0.655191,8.489538,-2.389092,8.448339,0,0.5,0.5
388,'2018/04/20 14:18:10:423',4,-20.210094,-5.673268,-19.179972,-0.352634,-17.926613,4.912753,-16.62151,10.057694,-14.797748,14.754506,-11.743666,18.531036,-7.813675,21.41721,-3.31619,23.306761,1.593238,23.518425,6.620018,22.294508,10.770486,19.226898,14.026157,15.241741,16.371731,10.74267,17.697672,5.994865,18.371496,1.203799,18.771727,-3.633221,18.793781,-8.480151,-18.084652,-14.381495,-15.743056,-16.380243,-12.718857,-17.202162,-9.580186,-17.133484,-6.491795,-16.48662,4.529635,-16.851999,7.110819,-17.666876,9.827436,-18.03718,12.561496,-17.783436,14.898369,-16.435301,-0.248933,-11.626983,-0.091059,-8.419136,0.045674,-5.231811,0.16861,-2.051463,-2.994464,1.012901,-1.239298,1.423987,0.582796,1.556385,2.193563,1.26435,3.701054,0.698234,-13.693079,-10.217961,-11.730944,-11.637718,-9.273033,-11.886467,-7.170304,-10.705484,-9.295089,-9.949588,-11.575032,-9.737512,5.663751,-11.279984,7.529483,-12.535898,9.909642,-12.62763,11.896669,-11.368816,9.917397,-10.689922,7.723057,-10.716672,-7.332072,8.577339,-4.91792,7.054354,-2.274495,6.016136,0.47521,6.197484,3.120758,5.754481,5.736727,6.506592,8.074721,7.884136,6.168555,9.799765,3.58379,10.886308,0.789485,11.25309,-2.127196,11.132917,-4.947499,10.282249,-2.364384,8.059323,0.620498,8.128343,3.514435,7.817777,3.615956,8.048884,0.680528,8.302938,-2.348746,8.320963,0,0.5,0.5
389,'2018/04/20 14:18:10:475',4,-20.14732,-5.508657,-19.106281,-0.216169,-17.841883,5.019723,-16.517315,10.126482,-14.672553,14.772416,-11.632069,18.509077,-7.739669,21.382032,-3.28635,23.284906,1.59344,23.499754,6.61715,22.278078,10.75294,19.206047,13.995655,15.227773,16.338387,10.745679,17.68195,6.017744,18.371731,1.23612,18.77796,-3.597361,18.805958,-8.439781,-18.038189,-14.398054,-15.72537,-16.401144,-12.725965,-17.235432,-9.608252,-17.178116,-6.539985,-16.541853,4.561004,-16.921535,7.132521,-17.721846,9.837959,-18.075863,12.555848,-17.800543,14.870772,-16.440491,-0.256161,-11.640856,-0.100839,-8.442755,0.032882,-5.26465,0.152423,-2.092519,-3.005762,0.97016,-1.253285,1.384316,0.567436,1.518165,2.180091,1.225632,3.689009,0.658732,-13.674396,-10.242693,-11.714028,-11.662557,-9.256961,-11.911371,-7.159302,-10.73033,-9.281636,-9.968843,-11.560533,-9.756236,5.655308,-11.304428,7.517935,-12.559835,9.899696,-12.648376,11.884867,-11.387521,9.90767,-10.706816,7.713809,-10.734178,-7.319187,8.552161,-4.921318,7.048327,-2.292203,6.01973,0.443323,6.194643,3.084343,5.764978,5.690416,6.516799,8.016397,7.880291,6.132106,9.820978,3.565768,10.948069,0.756825,11.333131,-2.170228,11.190403,-4.967658,10.289057,-2.419278,7.998239,0.578861,8.049231,3.498427,7.76123,3.622108,8.177964,0.656938,8.477094,-2.400904,8.446454,0,0.5,0.5
390,'2018/04/20 14:18:10:491',4,-20.229248,-5.48463,-19.187504,-0.184462,-17.920599,5.05823,-16.5937,10.173783,-14.740388,14.825566,-11.675096,18.557716,-7.757161,21.420923,-3.278228,23.300463,1.61514,23.502111,6.629504,22.28038,10.759737,19.214674,13.996288,15.239351,16.335396,10.764004,17.67296,6.042837,18.359909,1.270466,18.767006,-3.553013,18.792027,-8.385881,-18.102703,-14.367622,-15.778873,-16.399879,-12.754523,-17.248613,-9.607886,-17.193974,-6.510143,-16.55442,4.526432,-16.91527,7.113266,-17.728683,9.836175,-18.091612,12.573061,-17.820986,14.902032,-16.449917,-0.244768,-11.638347,-0.086698,-8.441616,0.050234,-5.265019,0.173203,-2.094283,-2.996675,0.995505,-1.239607,1.407028,0.585232,1.537576,2.19969,1.247506,3.709543,0.682243,-13.68609,-10.228668,-11.720678,-11.683937,-9.240454,-11.930875,-7.130067,-10.709231,-9.26387,-9.931958,-11.55871,-9.7193,5.651746,-11.285213,7.519136,-12.579749,9.920651,-12.673928,11.913713,-11.378991,9.929088,-10.673545,7.721322,-10.698722,-7.315171,8.55222,-4.908476,7.033393,-2.273605,5.997984,0.465623,6.178493,3.101665,5.74162,5.706495,6.49736,8.034015,7.874156,6.140633,9.79141,3.566325,10.882563,0.776976,11.249266,-2.135984,11.125398,-4.946167,10.264226,-2.356542,8.031985,0.607582,8.0993,3.481696,7.798436,3.585459,8.052427,0.668682,8.305712,-2.343254,8.316762,0,0.5,0.5
391,'2018/04/20 14:18:10:542',4,-20.21991,-5.718403,-19.203236,-0.425493,-17.958607,4.811223,-16.634621,9.932618,-14.774144,14.621152,-11.717372,18.414696,-7.807275,21.336006,-3.333702,23.281752,1.567407,23.542841,6.578647,22.310825,10.717759,19.243,13.972538,15.2636,16.323229,10.759755,17.670317,5.999321,18.364779,1.197324,18.774679,-3.643602,18.808386,-8.495808,-18.019781,-14.37781,-15.702343,-16.39361,-12.682573,-17.225471,-9.541529,-17.150537,-6.4537,-16.491295,4.529056,-16.845289,7.122159,-17.676811,9.852614,-18.053362,12.595571,-17.784111,14.921642,-16.409935,-0.239306,-11.595492,-0.080308,-8.398141,0.058405,-5.220162,0.183184,-2.050224,-2.995084,0.959748,-1.246624,1.380291,0.569828,1.520614,2.182754,1.224256,3.692173,0.652939,-13.658569,-10.209492,-11.691985,-11.654161,-9.212497,-11.897449,-7.105221,-10.692737,-9.23705,-9.912096,-11.531673,-9.69875,5.65601,-11.2507,7.531371,-12.53423,9.937439,-12.623799,11.934351,-11.337999,9.944607,-10.632598,7.731228,-10.659634,-7.280677,8.566061,-4.906434,7.051285,-2.285702,6.013288,0.455404,6.197592,3.095853,5.763114,5.689749,6.532791,7.990026,7.913619,6.107859,9.840137,3.552595,10.958611,0.758321,11.348451,-2.156911,11.194426,-4.940302,10.294621,-2.401143,7.987216,0.58526,8.047118,3.484948,7.754516,3.602975,8.190892,0.660779,8.501426,-2.380938,8.452646,0,0.5,0.5
392,'2018/04/20 14:18:10:561',4,-20.174103,-5.479393,-19.121529,-0.154063,-17.851936,5.115252,-16.541792,10.252311,-14.724433,14.914344,-11.679845,18.638676,-7.760396,21.472708,-3.278729,23.314314,1.609922,23.486198,6.642743,22.259594,10.783607,19.181492,14.022972,15.193489,16.359396,10.710331,17.693661,5.995064,18.372301,1.231855,18.768879,-3.586631,18.783478,-8.413836,-18.136381,-14.384267,-15.779585,-16.409163,-12.732047,-17.242788,-9.570382,-17.174767,-6.460717,-16.518385,4.51125,-16.891619,7.091239,-17.703943,9.81022,-18.06937,12.547359,-17.80905,14.884457,-16.447094,-0.239693,-11.673319,-0.087081,-8.464739,0.042923,-5.277324,0.158152,-2.095745,-2.985996,0.965859,-1.230861,1.370582,0.591279,1.497042,2.19223,1.213264,3.690026,0.656618,-13.752598,-10.221064,-11.771383,-11.659839,-9.287454,-11.913313,-7.165028,-10.707806,-9.312675,-9.946666,-11.615284,-9.733148,5.632021,-11.282057,7.506914,-12.556454,9.908516,-12.654098,11.910623,-11.375426,9.917904,-10.687627,7.706746,-10.715835,-7.335526,8.565698,-4.91821,7.041213,-2.278397,5.997124,0.46433,6.167558,3.104287,5.735802,5.714308,6.49143,8.046483,7.874711,6.155781,9.790947,3.58089,10.882048,0.785917,11.246557,-2.134091,11.12793,-4.952442,10.271808,-2.37962,8.02737,0.612292,8.082095,3.516065,7.788872,3.625569,8.054805,0.679434,8.307959,-2.361221,8.327039,0,0.5,0.5
